Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,portland,OR,97203,freeport,NY,11520,1600,COD/COP,2934,1,2013 mercedes-benz sl550,Runs,ENCLOSED,2023-02-03,252834-69442,"origin: boise,id 83709",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Portland - Vancouver - Hillsboro,New York - Northern New Jersey - Long Island,45.611119,-122.741338,40.652202,-73.58282,02_06_2023_07_19,02_06_2023_08_39
CAR,Bronx,NY,10465,Haltom City,TX,76117,1700,FIVE_BUSINESS_DAYS,1595,1,2021 bmw m5,Runs,ENCLOSED,2023-02-05,Alex 1008 / PLS TEXT WITH COMPANY NAME 9048640014,PLS TEXT ONLY,UDECIDE LLC,(904) 864-0014,alex.freeman@udecideautocarriers.com,100.0,New York - Northern New Jersey - Long Island,Dallas - Fort Worth - Arlington,40.832653,-73.816267,32.802801,-97.260951,02_06_2023_07_19,02_06_2023_11_15
PICKUP,Brewster,NY,10509,Magnolia,TX,77354,2000,COD/COP,1731,1,2012 ford f-150,Runs,ENCLOSED,2023-02-03,F150 Raptor,Not specified,Meccanic Shop North Inc,(203) 923-6120,diane@1600veloce.com,98.2,New York - Northern New Jersey - Long Island,Houston - Sugar Land - Baytown,41.418603,-73.597038,30.209785,-95.662342,02_06_2023_07_19,02_06_2023_14_56
CAR,Blauvelt,NY,10913,Austin,TX,78731,1200,FIFTEEN_BUSINESS_DAYS,1764,1,2022 porsche gt3,Runs,ENCLOSED,2023-02-07,9347-CR,TAIL GATE LIFTING ONLY ,Executive Auto Transport LLC,(774) 304-1197,executive.autotrans@gmail.com,99.9,New York - Northern New Jersey - Long Island,Austin - Round Rock - San Marcos,41.069061,-73.95987,30.34497,-97.770174,02_06_2023_07_19,02_06_2023_10_40
CAR,babylon,NY,11704,wyandanch,NY,11798,150,COD/COP,5,1,2016 nissan sentra,Runs,ENCLOSED,2023-02-03,4252187,Not specified,Getcarrier LLC,(203) 774-9777,dispatch@getcarrier.com,99.9,New York - Northern New Jersey - Long Island,New York - Northern New Jersey - Long Island,40.716392,-73.367108,40.753664,-73.368544,02_06_2023_07_19,02_06_2023_07_19
CAR,amenia,NY,12501,the villages,FL,32163,975,COD/COP,1159,1,1970 oldsmobile cutlass supreme,Runs,ENCLOSED,2023-02-13,1716130,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Poughkeepsie - Newburgh - Middletown,Not specified,41.850262,-73.577716,28.93,-81.95,02_06_2023_07_19,02_06_2023_14_56
CAR,Altamont,NY,12009,Farmingdale,NY,11735,350,COD/COP,198,1,1965 chevrolet corvette,Runs,ENCLOSED,2023-02-03,81324,please call or text 516-655-0940,Motorcar Classics LLC,(516) 655-0940,reid@motorcarclassics.com,98.5,Albany - Schenectady - Troy,New York - Northern New Jersey - Long Island,42.690352,-74.03405,40.73245,-73.433781,02_06_2023_07_19,02_06_2023_14_56
CAR,Alden,NY,14004,Clermont,FL,34711,900,COD/COP,1222,1,"2021 club cart 2 seater golf cart (l 8' x w 4' 5"" x h 5') 850 lbs",Runs,ENCLOSED,2023-02-06,11248977,Not specified,Haul Away Auto Transport Inc,(754) 201-2242,info@haulawayautotransport.com,98.7,Buffalo - Niagara Falls,Orlando - Kissimmee - Sanford,42.899699,-78.493494,28.519622,-81.748256,02_06_2023_07_19,02_06_2023_14_03
SUV,Albertson,NY,11507,Sarasota,FL,34243,1250,COD/COP,1202,1,2022 porsche cayenne,Runs,ENCLOSED,2023-02-08,5,Not specified,TK Express Inc,(305) 783-8721,tk@tsvetov.me,100.0,New York - Northern New Jersey - Long Island,North Port - Bradenton - Sarasota,40.770256,-73.65064,27.404804,-82.519154,02_06_2023_07_19,02_06_2023_09_03
CAR,albany,NY,12205,maxton,NC,28364,700,COD/COP,746,1,2020 hyundai elantra,Runs,ENCLOSED,2023-02-13,30908772-us,no comment,US Star Trucking LLC,(865) 730-4992,usstartrucking@gmail.com,99.8,Albany - Schenectady - Troy,Not specified,42.716766,-73.817216,34.715876,-79.336443,02_06_2023_07_19,02_06_2023_14_56
CAR,Albany,NY,12206,Saratoga Springs,NY,12866,300,COD/COP,32,1,2023 corvette zo6,Runs,ENCLOSED,2023-02-06,10928109,Please text with your best rate,ShipWit Global Inc,(847) 737-7562,admin@shipwit.com,99.8,Albany - Schenectady - Troy,Albany - Schenectady - Troy,42.676004,-73.792307,43.05036,-73.75394,02_06_2023_07_19,02_06_2023_14_56
SUV,Brooklyn,NY,11232,fort worth,TX,76107,1200,TEN_BUSINESS_DAYS,1595,1,2023 bmw x7 sports activity vehicle,Runs,ENCLOSED,2023-02-02,26672,text russ 3347918520  mike 3346851741,Culver Carriers Brokerage LLC,(334) 698-0010,culvercarriers@yahoo.com,99.8,New York - Northern New Jersey - Long Island,Dallas - Fort Worth - Arlington,40.657236,-74.002868,32.74308,-97.378045,02_06_2023_07_19,02_06_2023_14_37
PICKUP,reno,NV,89502,forest lake,MN,55025,1500,COD/COP,1854,1,2021 ford f-150,Runs,ENCLOSED,2023-01-31,31524455-je,b2p 518 992 5042,Elite Auto Shipping,(516) 559-5542 x5,serge@eliteautoshipping.com,99.6,Reno - Sparks,Minneapolis - St. Paul - Bloomington,39.489562,-119.752051,45.262162,-93.013708,02_06_2023_07_19,02_06_2023_14_56
CAR,reno,NV,89521,brecksville,OH,44141,1500,COD/COP,2264,1,1988 ford mustang,Runs,ENCLOSED,2023-02-06,1717784,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Reno - Sparks,Cleveland - Elyria - Mentor,39.385645,-119.686873,41.30627,-81.615074,02_06_2023_07_19,02_06_2023_07_32
CAR,Reno,NV,89519,Austin,TX,78744,1500,TEN_BUSINESS_DAYS,1734,1,2016 ford cobra,Runs,ENCLOSED,2023-01-22,26012,text russ 3347918520  mike 3346851741,Culver Carriers Brokerage LLC,(334) 698-0010,culvercarriers@yahoo.com,99.8,Reno - Sparks,Austin - Round Rock - San Marcos,39.484951,-119.854377,30.175398,-97.737258,02_06_2023_07_19,02_06_2023_14_56
PICKUP,reno,NV,89501,atlanta,GA,30301,2275,COD/COP,2397,1,2018 toyota tundra,Runs,ENCLOSED,2023-02-06,r565796,-,AM3 Freight Operations,(516) 719-2887,dispatch@v2logistics.com,99.4,Reno - Sparks,Atlanta - Sandy Springs - Marietta,39.528492,-119.804313,33.7486,-84.3884,02_06_2023_07_19,02_06_2023_14_56
