Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time
CAR,fairfax,VA,22030,prescott valley,AZ,86314,1500,COD/COP,2279,1,1965 chevrolet impala,Runs,ENCLOSED,2023-02-10,1721143,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Washington - Arlington - Alexandria,Prescott Valley - Prescott,38.837256,-77.342008,34.655971,-112.304724,02_11_2023_07_58
CAR,Fredericksburg,VA,22401,Boynton Beach,FL,33435,550,COD/COP,953,1,2013 porsche 911,Runs,ENCLOSED,2023-02-12,11317600,(313)887-1806 ASAP,Profexo Inc,(313) 486-2166,info@profexoshipping.com,99.6,Washington - Arlington - Alexandria,Miami - Fort Lauderdale - Pompano Beach,38.298282,-77.491386,26.524058,-80.064158,02_11_2023_07_58
CAR,Fredericksburg,VA,22401,Boynton Beach,FL,33435,600,COD/COP,953,1,2013 porsche 911,Runs,ENCLOSED,2023-02-12,11317590,313-900-3907 / ASAP,Profexo Inc,(313) 486-2166,info@profexoshipping.com,99.6,Washington - Arlington - Alexandria,Miami - Fort Lauderdale - Pompano Beach,38.298282,-77.491386,26.524058,-80.064158,02_11_2023_07_58
CAR,Hampton,VA,23666,Gretna,LA,70056,850,COD/COP,1080,1,2017 chevrolet camaro,Runs,ENCLOSED,2023-02-11,11050714,ASAP call/text 4137260924,Quickship LLC,(888) 361-5514,info@quickshipcars.com,98.3,Virginia Beach - Norfolk - Newport News,New Orleans - Metairie - Kenner,37.062782,-76.40522,29.887218,-90.027717,02_11_2023_07_58
SUV,Henrico,VA,23231,Fort Walton Beach,FL,32547,1000,THIRTY_BUSINESS_DAYS,0,1,1965 land rover series 2a with roof rack - 88in tall / 150in long- for weekend and evening dispatch text 678-464-7022 or email info@enclosedvehicletransport.com,Runs,ENCLOSED,2023-02-11,0206-VAFL,Non-Stacking Enclosed Trailer,"Enclosed Vehicle Transport, Inc.",(888) 827-6799,kevin@enclosedvehicletransport.com,100.0,Richmond,Crestview - Fort Walton Beach - Destin,37.443572,-77.2995,30.467448,-86.643616,02_11_2023_07_58
CAR,Henrico,VA,23233,Denver,CO,80202,1351,COD/COP,1662,1,2017 cadillac ct6,Runs,ENCLOSED,2023-02-15,87847,Call 561-293-2707 for dispatch,Advanced Car Shipping,(888) 883-1044,info@advancedcarshipping.com,99.5,Richmond,Denver - Aurora,37.651178,-77.61969,39.752627,-104.998086,02_11_2023_07_58
CAR,Leesburg,VA,20175,Narrows,VA,24124,500,COD/COP,274,1,1977 chevrolet corvette,Runs,ENCLOSED,2023-02-09,29399175,http:iTruckify.com/fg97r C 302-268-9083 x 9 Txt 302-251-2917,I Move Auto,(302) 268-9083,info@imoveauto.com,97.7,Washington - Arlington - Alexandria,Blacksburg - Christiansburg - Radford,39.052271,-77.603577,37.305901,-80.912156,02_11_2023_07_58
CAR,Leesburg,VA,20175,Narrows,VA,24124,470,COD/COP,274,1,1977 chevrolet corvette,Runs,ENCLOSED,2023-02-11,11256372,call/text 313-900-3882,Profexo Inc,(313) 486-2166,info@profexoshipping.com,99.6,Washington - Arlington - Alexandria,Blacksburg - Christiansburg - Radford,39.052271,-77.603577,37.305901,-80.912156,02_11_2023_07_58
CAR,luray,VA,22835,ocean city,MD,21842,400,COD/COP,232,1,1930 ford model a,Runs,ENCLOSED,2023-02-16,108793,Not specified,Ace Logistics Group Holdings LLC,(850) 790-0280,dispatch@tigerautotransport.com,100.0,Not specified,Salisbury,38.693469,-78.480224,38.387232,-75.102379,02_11_2023_07_58
CAR,manassas,VA,20108,brownsville,TX,78522,1350,COD/COP,1736,1,2023 chevrolet corvette coupe,Runs,ENCLOSED,2023-02-10,30819040-yf,7022082904,Yellowfin Logistics LLC,(888) 223-5038,ben@yellowfinlogistics.com,99.7,Washington - Arlington - Alexandria,Brownsville - Harlingen,38.7657,-77.4852,25.9016,-97.4975,02_11_2023_07_58
CAR,Manassas,VA,20109,Brownsville,TX,78526,1801,COD/COP,1729,1,2023 chevrolet corvette,Runs,ENCLOSED,2023-02-11,11306176,TEXT 786 802 2081 !!!,Silver Express Logistics,(786) 802-2081,support@silverexpresslogistics.com,99.7,Washington - Arlington - Alexandria,Brownsville - Harlingen,38.793688,-77.53645,25.992679,-97.449762,02_11_2023_07_58
CAR,manassas,VA,20112,aurora,CO,80010,1125,COD/COP,1662,1,1969 chevrolet camaro,Runs,ENCLOSED,2023-02-15,1719209,"actual del in glenwood,ia 51534.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Washington - Arlington - Alexandria,Denver - Aurora,38.66484,-77.4339,39.739826,-104.856217,02_11_2023_07_58
CAR,manassas,VA,20112,glenwood,IA,51534,1125,COD/COP,1182,1,1969 chevrolet camaro,Runs,ENCLOSED,2023-02-15,1718265,delivery 2/20 or after,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Washington - Arlington - Alexandria,Omaha - Council Bluffs,38.66484,-77.4339,41.037915,-95.706307,02_11_2023_07_58
SUV,Midlothian,VA,23113,Minneapolis,MN,55428,1400,FIVE_BUSINESS_DAYS,1220,1,2022 mercedes-benz mercedes-amg g-class,Runs,ENCLOSED,2023-02-21,315775,Carrier will delivery February 25th or after.,Angels Moving Autos,(530) 245-0629,angelsmovingautos@gmail.com,99.6,Richmond,Minneapolis - St. Paul - Bloomington,37.545826,-77.670741,45.063659,-93.380309,02_11_2023_07_58
CAR,Newport News,VA,23607,Erie,PA,16509,1500,TWO_BUSINESS_DAYS,530,1,2023 mix mix,Runs,ENCLOSED,2023-02-10,BD 1,2 day pay available. Must have liftgate. Twic or escort ,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Virginia Beach - Norfolk - Newport News,Erie,36.975898,-76.439879,42.057788,-80.04347,02_11_2023_07_58
CAR,Newport News,VA,23607,Cary,NC,27511,1400,TWO_BUSINESS_DAYS,199,1,2023 mix mix,Runs,ENCLOSED,2023-02-10,BD 2,2 day pay available. Must have liftgate. Twic or escort ,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Virginia Beach - Norfolk - Newport News,Raleigh - Cary,36.975898,-76.439879,35.759644,-78.779491,02_11_2023_07_58
SUV,potomac,VA,22301,san diego,CA,92120,1650,COD/COP,2687,1,2021 ford bronco,Runs,ENCLOSED,2023-02-13,146736-2,"pul: virginia beach,va 23452 del: san diego,ca 92120",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Washington - Arlington - Alexandria,San Diego - Carlsbad - San Marcos,38.818362,-77.060432,32.794906,-117.075492,02_11_2023_07_58
CAR,powhatan,VA,23139,las vegas,NV,89117,1550,COD/COP,2373,1,1970 dodge charger,Runs,ENCLOSED,2023-02-13,147097,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Richmond,Las Vegas - Paradise,37.552907,-77.941096,36.142384,-115.279341,02_11_2023_07_58
SUV,salem,VA,24153,seattle,WA,98118,2100,COD/COP,2712,1,2022 mazda cx30,Runs,ENCLOSED,2023-02-14,30452015-ml,or 16,Mate Logistics Inc,(929) 578-7828,info@matelogisticss.com,100.0,Roanoke,Seattle - Tacoma - Bellevue,37.28349,-80.119264,47.541963,-122.267649,02_11_2023_07_58
CAR,Suffolk,VA,23435,Long Beach,CA,90813,1562,COD/COP,2726,1,2010 chevrolet camaro,Runs,ENCLOSED,2023-02-22,10322859,Not specified,AmeriFreight,(770) 574-4436,dispatchfax@amerifreight.net,99.9,Virginia Beach - Norfolk - Newport News,Los Angeles - Long Beach - Anaheim,36.84702,-76.478912,33.777769,-118.203827,02_11_2023_07_58
CAR,triangle,VA,22172,lake worth,FL,33467,650,COD/COP,969,1,2005 harley davidson softtail,Runs,ENCLOSED,2023-02-13,30186,have contract down payment 702-342-1058,American Auto Shipping,(702) 342-1058,dispatch@americanautoshipping.com,100.0,Washington - Arlington - Alexandria,Miami - Fort Lauderdale - Pompano Beach,38.563734,-77.356151,26.595016,-80.175844,02_11_2023_07_58
CAR,Vienna,VA,22181,Evergreen,CO,80439,1500,COD/COP,1705,1,2013 porsche 911,Runs,ENCLOSED,2023-02-16,11259644,Not specified,AmeriFreight,(770) 574-4436,dispatchfax@amerifreight.net,99.9,Washington - Arlington - Alexandria,Denver - Aurora,38.904608,-77.295559,39.649724,-105.405932,02_11_2023_07_58
CAR,Virginia Beach,VA,23464,Richmond,TX,77407,1400,FIFTEEN_BUSINESS_DAYS,1418,1,2019 chevrolet camaro,Runs,ENCLOSED,2023-02-13,8584574,Not specified,Clear Connect Logistics /Landstar Transportation,(814) 243-5348,anne.babish@clearconnectlogistics.com,100.0,Virginia Beach - Norfolk - Newport News,Houston - Sugar Land - Baytown,36.798671,-76.178112,29.667837,-95.722106,02_11_2023_07_58
SUV,virginia beach,VA,23452,san diego,CA,92120,1650,COD/COP,2744,1,2021 ford bronco,Runs,ENCLOSED,2023-02-13,146736,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Virginia Beach - Norfolk - Newport News,San Diego - Carlsbad - San Marcos,36.849396,-76.095534,32.794906,-117.075492,02_11_2023_07_58
CAR,Williamsburg,VA,23185,Farmingdale,NY,11735,500,COD/COP,424,1,1982 porsche 911,Runs,ENCLOSED,2023-02-12,56334,please call or text 516-655-0940,Motorcar Classics LLC,(516) 655-0940,reid@motorcarclassics.com,98.5,Virginia Beach - Norfolk - Newport News,New York - Northern New Jersey - Long Island,37.233951,-76.736472,40.73245,-73.433781,02_11_2023_07_58
CAR,hyde park,VT,05655,sonoma,CA,95476,2400,COD/COP,3047,1,None chevrolet corvette,Runs,ENCLOSED,2023-02-10,1104,calls only 602-844-5108 email contact@ziprigz.com pmt: qui,ZipRigz LLC,(602) 844-5108,brandon.gray@ziprigz.com,100.0,Not specified,Santa Rosa - Petaluma,44.62893,-72.564211,38.245511,-122.462108,02_11_2023_07_58
CAR,Manchester Center,VT,05255,Sheboygan Falls,WI,53085,510,COD/COP,1023,1,1927 marmon convertible touring runs to load and unload,Runs,ENCLOSED,2023-02-13,1927 Marmon Enclosed,TEXT order ID and Company Name and I will call you please,Arrange Transport,(757) 280-1580,arrangecartransport@gmail.com,100.0,Not specified,Sheboygan,43.16966,-73.066116,43.74108,-87.851031,02_11_2023_07_58
SUV,n springfield,VT,05150,san juan capistrano,CA,92675,2550,COD/COP,2923,1,2023 gmc yukon,Runs,ENCLOSED,2023-02-10,3723-44977,https:shrpa.io/ci?o=3723-44977 p#844-311-9931,Sherpa Auto Transport LLC 2,(844) 311-9931,dispatch+2@sherpaautotransport.com,100.0,Not specified,Los Angeles - Long Beach - Anaheim,43.338714,-72.524403,33.570482,-117.549656,02_11_2023_07_58
CAR,North Clarendon,VT,05759,Fort Lauderdale,FL,33309,1450,COD/COP,1485,1,1967 chevrolet corvette,Runs,ENCLOSED,2023-02-10,enclosed 67 Vette,Not specified,Shaw Auto Carriers Com LLC,(321) 914-8334,ridewithshaw@gmail.com,100.0,Not specified,Miami - Fort Lauderdale - Pompano Beach,43.536976,-72.952538,26.188293,-80.170448,02_11_2023_07_58
CAR,West Dover,VT,05356,Coshocton,OH,43812,700,COD/COP,641,1,1955 ford thunderbird,Runs,ENCLOSED,2023-02-24,56429,Not specified,"All Star Direct Auto Shipping, LLC",(310) 994-4960,theshippinggal@gmail.com,100.0,Not specified,Not specified,42.973371,-72.896974,40.302768,-81.864768,02_11_2023_07_58
CAR,anacortes,WA,98221,oneida,NY,13421,1800,TWO_BUSINESS_DAYS,2830,1,2006 audi s4 avant,Runs,ENCLOSED,2023-02-13,13033 audi,Broker Pay Book on super-lb.com/0VQpyd,Exim-Cars LLC,(859) 333-0445,danny@exim-cars.com,100.0,Mount Vernon - Anacortes,Syracuse,48.518056,-122.677899,43.060128,-75.627724,02_11_2023_07_58
CAR,Auburn,WA,98001,Tewksbury,MA,01876,1700,TWO_BUSINESS_DAYS,3041,1,2000 ford mustang,Runs,ENCLOSED,2023-02-10,2359,Not specified,GAS Motorsport,(253) 200-4664,thecarmovers@gmail.com,100.0,Seattle - Tacoma - Bellevue,Boston - Cambridge - Quincy,47.307492,-122.26591,42.611064,-71.231595,02_11_2023_07_58
SUV,Auburn,WA,98001,Plano,TX,75023,1400,COD/COP,2111,1,2022 mercedes-benz gle 350,Runs,ENCLOSED,2023-02-24,11205335,9543002686 call text,"ShipYourCarNow, LLC",(917) 933-5723,cdfdtest@shipyourcarnow.com,99.7,Seattle - Tacoma - Bellevue,Dallas - Fort Worth - Arlington,47.307492,-122.26591,33.054712,-96.731202,02_11_2023_07_58
CAR,bellevue,WA,98004,las vegas,NV,89166,1200,COD/COP,1172,1,2015 bmw m4 - enclosed,Runs,ENCLOSED,2023-02-15,244271,to book load email jarvis@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Seattle - Tacoma - Bellevue,Las Vegas - Paradise,47.617746,-122.210797,36.321918,-115.343066,02_11_2023_07_58
CAR,bellevue,WA,98004,fort lauderdale,FL,33304,2350,COD/COP,3287,1,1957 ford thunderbird,Runs,ENCLOSED,2023-02-14,1719657,"actual p/u in whitefish,mt 59937.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Seattle - Tacoma - Bellevue,Miami - Fort Lauderdale - Pompano Beach,47.617746,-122.210797,26.137655,-80.123016,02_11_2023_07_58
CAR,Bellevue,WA,98004,Miami,FL,33130,1636,COD/COP,3308,1,2021 tesla model 3,Runs,ENCLOSED,2023-02-17,29192807,http:iTruckify.com/tcky9,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,100.0,Seattle - Tacoma - Bellevue,Miami - Fort Lauderdale - Pompano Beach,47.617746,-122.210797,25.766522,-80.203585,02_11_2023_07_58
SUV,bellevue,WA,98004,helotes,TX,78023,1425,COD/COP,2350,1,2018 bmw x5,Runs,ENCLOSED,2023-02-19,1715554,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Seattle - Tacoma - Bellevue,San Antonio - New Braunfels,47.617746,-122.210797,29.626598,-98.751305,02_11_2023_07_58
CAR,Bellevue,WA,98009,San Diego,CA,92128,800,COD/COP,1261,1,2021 porsche 911,Runs,ENCLOSED,2023-02-10,021-BDP,NO WEEKEND PICK UP ,Team Auto Logistics Inc,(562) 270-0850,dispatchteamauto@yahoo.com,98.8,Seattle - Tacoma - Bellevue,San Diego - Carlsbad - San Marcos,47.6106,-122.1997,32.99416,-117.075305,02_11_2023_07_58
CAR,bellevue,WA,98005,Vienna,VA,22182,1900,TWO_BUSINESS_DAYS,2757,1,2016 ford mustang,Runs,ENCLOSED,2023-02-13,160234,Not specified,Carworx Auto Transport Inc,(425) 750-0983,movecars@gmail.com,100.0,Seattle - Tacoma - Bellevue,Washington - Arlington - Alexandria,47.620068,-122.173086,38.936148,-77.267598,02_11_2023_07_58
CAR,Cheney,WA,99004,Fayetteville,AR,72701,1700,TEN_BUSINESS_DAYS,1834,1,1965 ford mustang,Runs,ENCLOSED,2023-02-12,101569-FV,"402-210-2670--Actual Delivery Charleston, AR 72933","Mr. Car Shipper, LLC",(877) 563-8836,dispatch@mrcarshipper.com,100.0,Spokane,Fayetteville - Springdale - Rogers,47.420572,-117.641582,35.944537,-94.091378,02_11_2023_07_58
CAR,Cheney,WA,99004,Charleston,AR,72933,1700,TEN_BUSINESS_DAYS,1940,1,1965 ford mustang,Runs,ENCLOSED,2023-02-12,101569,"Hard Side Enclosed Trailer
Call Tim @ 402-210-2670
","Mr. Car Shipper, LLC",(877) 563-8836,dispatch@mrcarshipper.com,100.0,Spokane,Fort Smith,47.420572,-117.641582,35.333086,-94.03873,02_11_2023_07_58
CAR,Enumclaw,WA,98022,Port Richey,FL,34668,1825,FIFTEEN_BUSINESS_DAYS,3097,1,2022 ford mustang,Runs,ENCLOSED,2023-02-10,38957,Not specified,Beacon Shipping Logistics,(401) 525-0654,dispatch@bslusa.com,100.0,Seattle - Tacoma - Bellevue,Tampa - St. Petersburg - Clearwater,47.088064,-121.711476,28.30475,-82.705003,02_11_2023_07_58
CAR,Gig Harbor,WA,98335,Savannah,GA,31401,1500,TEN_BUSINESS_DAYS,2914,1,2019 volkswagen beetle convertible,Runs,ENCLOSED,2023-02-13,10839135,call or text Marie 786-725-2243,AutoStar Transport Express LLC,(888) 802-8250,dispatch@autostartransport.com,100.0,Seattle - Tacoma - Bellevue,Savannah,47.295332,-122.622708,32.075798,-81.075624,02_11_2023_07_58
CAR,Gig Harbor,WA,98335,Bristol,ME,04539,2300,COD/COP,3245,1,1990 porsche 928,Runs,ENCLOSED,2023-02-13,11078845,Call / text mike 239-202-0846,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,Seattle - Tacoma - Bellevue,Not specified,47.295332,-122.622708,43.95445,-69.49622,02_11_2023_07_58
SUV,Granite Falls,WA,98252,Morristown,NJ,07960,2000,COD/COP,2866,1,1973 ford bronco,Runs,ENCLOSED,2023-02-17,179,Delivery 27th or later,Mike's Discount Auto Transport,(715) 687-4600,discountat@gmail.com,99.7,Seattle - Tacoma - Bellevue,New York - Northern New Jersey - Long Island,48.048951,-121.749054,40.7818,-74.49472,02_11_2023_07_58
