Total Price,Rate Per Mile,Total Miles,Vehicle,Pickup,Delivery,Pick-Up Date,Price,Order ID,Company Name,Phone,Email,Additional Info,Distance,Vehicle Condition,Trailer Type,Pickup metro area,Delivery metro area,Vehicle-2,Pickup-2,Delivery-2,Pick-Up Date-2,Price-2,Order ID-2,Company Name-2,Phone-2,Email-2,Additional Info-2,Distance-2,Vehicle Condition-2,Trailer Type-2,Pickup metro area-2,Delivery metro area-2
$1400,1.11,1258 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 2010 yamaha xsr900 (MOTORCYCLE),"GA: Atlanta, 30303","CT: Hartford, 06106",2023-02-19,$200,FEV1556-1,Five Star Logix LLC,(979) 261-0112,dispatch@fivestarlogix.com,Org PU: NC - Lowell 28098 DEL:NY - Newburgh 12550 ,1006.0,Runs,ENCLOSED,Atlanta - Sandy Springs - Marietta,Hartford - West Hartford - East Hartford
$1400,1.26,1109 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 1988 suzuki savage (MOTORCYCLE),"GA: Peachtree City, 30269","VA: Marion, 24354",2023-02-07,$200,11299169,Cheapautotrans Inc,(770) 881-7185,info@cheapautotrans.com,call/text 4707304824,396.0,Runs,OPEN,Atlanta - Sandy Springs - Marietta,Not specified
$1700,1.23,1387 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 2023 confederate c2 p-51 fighter crated motorcycle (MOTORCYCLE),"AL: Birmingham, 35201","VA: Virginia Beach, 23455",2023-02-07,$500,11260000,OTH Logistics Limited Liability Company,(844) 744-7684,mbolanos@othlogistics.com,going to warehouse will load and unload Call/TXT 5614549115,725.0,Runs,ENCLOSED,Birmingham - Hoover,Virginia Beach - Norfolk - Newport News
$1400,1.24,1127 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 2022 yamaha xsr900 (MOTORCYCLE),"NC: Lowell, 28098","NY: Newburgh, 12550",2023-02-19,$200,FEV1556,Five Star Logix LLC,(979) 261-0112,dispatch@fivestarlogix.com,Not specified,701.0,Runs,ENCLOSED,Charlotte - Gastonia - Rock Hill,Poughkeepsie - Newburgh - Middletown
$1325,1.21,1099 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 1980 yamaha under 600 cc (MOTORCYCLE),"NC: matthews, 28105","NC: gastonia, 28054",2023-02-07,$125,30688776-bw,Brookwide Inc,(929) 592-3070,autodispatch@brookwide.com,ready for dispatch call or text asap 9294195664,40.0,Runs,OPEN,Charlotte - Gastonia - Rock Hill,Charlotte - Gastonia - Rock Hill
$1325,1.21,1099 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 1980 yamaha under 600 cc (MOTORCYCLE),"NC: matthews, 28105","NC: gastonia, 28054",2023-02-06,$125,31536549-je,Elite Auto Shipping,(516) 559-5542 x5,serge@eliteautoshipping.com,ptop 9295923033,40.0,Runs,OPEN,Charlotte - Gastonia - Rock Hill,Charlotte - Gastonia - Rock Hill
$1530,1.47,1042 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 2017 kubota rtv-x1140 (ATV),"WV: Hanover, 24839","VA: Catlett, 20119",2023-02-06,$330,MJ77,ASAP Auto Transportation,(954) 288-0392,mark@asapautotransportation.com,ATV TXT 4 PICS & SPECS-WILL LOAD/UNLOAD,315.0,Inop,OPEN,Not specified,Washington - Arlington - Alexandria
$1575,1.26,1250 mi,(1) 2020 harley-davidson custom trike (MOTORCYCLE),"GA: Blairsville, 30512","NY: West Winfield, 13491",2023-02-20,$1200,29249240,Easy Auto Ship LLC,(330) 208-2431,dispatch@easyautoship.net,http:iTruckify.com/qc88y,896.0,Runs,ENCLOSED,Not specified,Utica - Rome,(1) 1995 honda 750 (MOTORCYCLE),"NC: Winston Salem, 27104","NH: Concord, 03301",2022-06-13,$375,7851182,ShipYourCarNow LLC,(917) 933-5723,cdfdtest@shipyourcarnow.com,Not specified,876.0,Runs,OPEN,Winston - Salem,Not specified
$1400,1.68,835 mi,(1) 2018 suzuki burgman 650 (MOTORCYCLE),"TN: Crossville, 38555","FL: Malabar, 32950",2023-02-12,$300,UZ1014-E,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,Not specified,702.0,Runs,ENCLOSED,Not specified,Palm Bay - Melbourne - Titusville,(1) 1988 chevy corvette (CAR),"TN: jamestown, 38556","FL: sebastian, 32958",2023-02-08,$1100,35183100,Load Buster Logistics LLC,(772) 333-9889,loadbusters@gmail.com,Not specified,753.0,Runs,ENCLOSED,Not specified,Sebastian - Vero Beach
$1400,1.68,835 mi,(1) 2018 suzuki burgman 650 (MOTORCYCLE),"TN: Crossville, 38555","FL: Malabar, 32950",2023-02-12,$300,UZ1014-O,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,Not specified,702.0,Runs,OPEN,Not specified,Palm Bay - Melbourne - Titusville,(1) 1988 chevy corvette (CAR),"TN: jamestown, 38556","FL: sebastian, 32958",2023-02-08,$1100,35183100,Load Buster Logistics LLC,(772) 333-9889,loadbusters@gmail.com,Not specified,753.0,Runs,ENCLOSED,Not specified,Sebastian - Vero Beach
