Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time
CAR,Kotzebue,AK,99752,Mekoryuk,AK,99630,50,FIFTEEN_BUSINESS_DAYS,-1,1,2002 lexus sc,Runs,ENCLOSED,2023-02-20,0215,QuickPay available,Advantage Logistics LLC,(314) 602-3776,dispatch@advlogs.com,100.0,Not specified,Not specified,66.73784,-161.77906,60.088095,-166.481491,02_22_2023_16_32
CAR,Kotzebue,AK,99752,Mekoryuk,AK,99630,50,FIFTEEN_BUSINESS_DAYS,-1,1,2002 lexus sc,Runs,ENCLOSED,2023-02-20,0215,Not specified,Advantage Logistics LLC,(314) 602-3776,dispatch@advlogs.com,100.0,Not specified,Not specified,66.73784,-161.77906,60.088095,-166.481491,02_22_2023_16_32
SUV,Bessemer,AL,35022,allen,TX,75013,900,COD/COP,646,1,2023 ford bronco ii rapter,Runs,ENCLOSED,2023-02-24,Call 469 203 1641,Not specified,Green Road Auto Brokers LLC,(469) 203-1641,laciroark1@yahoo.com,99.5,Birmingham - Hoover,Dallas - Fort Worth - Arlington,33.333662,-86.96042,33.114508,-96.692428,02_22_2023_16_32
CAR,birmingham,AL,35226,dorchester,MA,02125,500,COD/COP,1203,1,2022 mercedes-benz 300,Runs,ENCLOSED,2023-01-31,30454716-ug,call text steve 78678556979,United Global Assets Inc,(786) 785-7009,mywaydhighway91@live.com,99.2,Birmingham - Hoover,Boston - Cambridge - Quincy,33.39801,-86.84067,42.315824,-71.055735,02_22_2023_16_32
PICKUP,Dothan,AL,36301,Napa,CA,94558,1725,COD/COP,2522,1,1951 chevrolet c/k 10 series,Runs,ENCLOSED,2023-02-22,loren-jl,813-454-3960 text only ASAP NOW!!!! Please :),Andrew Auto Transport,(888) 888-8888,dispatch@andrewautotransport.com,100.0,Dothan,Napa,31.146161,-85.412448,38.52972,-122.279498,02_22_2023_16_32
CAR,Fort Payne,AL,35967,Tampa,FL,33630,300,COD/COP,570,1,1996 ford mustang svt cobra,Runs,ENCLOSED,2023-02-22,Asap 813-909-6794 only,Not specified,Fleet Core,(813) 909-6794,melissa@spacecoastautoauction.com,98.6,Not specified,Tampa - St. Petersburg - Clearwater,34.40712,-85.704552,27.9473,-82.4588,02_22_2023_16_32
CAR,Harvest,AL,35749,Wilmington,CA,90744,1700,COD/COP,2025,1,1966 chevrolet corvette,Runs,ENCLOSED,2023-02-27,11280503,Not specified,AmeriFreight,(770) 574-4436,dispatchfax@amerifreight.net,99.9,Huntsville,Los Angeles - Long Beach - Anaheim,34.821601,-86.731102,33.778916,-118.25927,02_22_2023_16_32
CAR,irondale,AL,35210,alma,GA,31510,500,COD/COP,350,1,2022 audi rs 7,Runs,ENCLOSED,2023-02-21,7953247,Not specified,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Birmingham - Hoover,Not specified,33.543202,-86.671257,31.550004,-82.462181,02_22_2023_16_32
CAR,leeds,AL,35094,plano,TX,75024,850,THIRTY_BUSINESS_DAYS,669,1,2023 toyota gr corolla,Runs,ENCLOSED,2023-02-27,22173-r,Please call/text Lee (786) 377-5149,United Routes LLC,(866) 352-8180 x2,dispatch@unitedroutes.com,99.8,Birmingham - Hoover,Dallas - Fort Worth - Arlington,33.513635,-86.577822,33.08382,-96.812801,02_22_2023_16_32
CAR,MADISON,AL,35756,SAVOY,IL,61874,575,TWO_BUSINESS_DAYS,484,1,1996 chevrolet caprice classic,Runs,ENCLOSED,2023-03-08,R42714,Not specified,Bluestar Corporate Relocation Services,(818) 379-7356 x2,rmills@bluestarrelo.com,100.0,Huntsville,Champaign - Urbana,34.656364,-86.814394,40.05412,-88.241663,02_22_2023_16_32
CAR,pelham,AL,35124,biloxi,MS,39532,375,COD/COP,310,1,2019 mercedes-benz e-class,Runs,ENCLOSED,2023-02-22,43265,contact 480 420 6912 for dispatch ach pymnt,TurnTime Transport LLC,(480) 420-6912,sean@turntimetransport.com,99.6,Birmingham - Hoover,Gulfport - Biloxi,33.309422,-86.764955,30.496087,-88.960125,02_22_2023_16_32
SUV,pell city,AL,35125,milwaukie,OR,97222,2050,COD/COP,2603,1,2023 ford bronco,Runs,ENCLOSED,2023-02-22,1727306,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Birmingham - Hoover,Portland - Vancouver - Hillsboro,33.630641,-86.293897,45.442184,-122.61861,02_22_2023_16_32
CAR,Benton,AR,72019,Auburn,WA,98001,1950,COD/COP,2280,1,1934 chevrolet coupe,Runs,ENCLOSED,2023-02-22,Txt only 615-946-9103;runs and drives,Not specified,Down South Industries,(615) 946-9103,transport@downsouthindustriesllc.com,99.7,Little Rock - North Little Rock - Conway,Seattle - Tacoma - Bellevue,34.62428,-92.672405,47.307492,-122.26591,02_22_2023_16_32
