total_rate,total_distance,total_rpm,min_route,Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time,RPM,Vehicle Type-2,Pickup City-2,Pickup State-2,Pickup ZIP-2,Delivery City-2,Delivery State-2,Delivery ZIP-2,Rate-2,Payment Method-2,Distance-2,Veh_qty-2,Vehicle Info-2,Vehicle Condition-2,Trailer Type-2,Pick-Up Date-2,Order ID-2,Additional Info-2,Company Name-2,Phone-2,Email-2,Rating-2,Pickup metro area-2,Delivery metro area-2,P_lat-2,P_lon-2,D_lat-2,D_lon-2,Time-2,RPM-2
1150,1050.972531879111,1.0942246016114523,1.0,MOTORCYCLE,Detroit,MI,48201,Charleston,SC,29401,700.0,COD/COP,876,1.0,2020 kawasaki ninja,Runs,OPEN,2023-02-13,11355651,Call/text (239) 221-0733 - Ready to go,Global X Logistics LLC,(888) 273-0620,jean@globalxlogisticsllc.com,98.1,Detroit - Warren - Livonia,Charleston - North Charleston,42.346235,-83.06056,32.777596,-79.941923,02_14_2023_07_23,0.8,MOTORCYCLE,Willoughby,OH,44094,North Charleston,SC,29405,450.0,IMMEDIATELY,723,1.0,1988 harley davidson spinger,Runs,OPEN,2023-02-10,DB1486,Direct Payment Zelle,DB Auto Relocation Service,(520) 591-5305,dbdrivernetwork@gmail.com,100.0,Cleveland - Elyria - Mentor,Charleston - North Charleston,41.638178,-81.37721,32.85048,-79.982005,02_14_2023_07_23,0.62
1150,1050.972531879111,1.0942246016114523,1.0,MOTORCYCLE,Detroit,MI,48201,Charleston,SC,29401,700.0,COD/COP,876,1.0,2020 kawasaki ninja,Runs,OPEN,2023-02-13,11355651,Call/text (239) 221-0733 - Ready to go,Global X Logistics LLC,(888) 273-0620,jean@globalxlogisticsllc.com,98.4,Detroit - Warren - Livonia,Charleston - North Charleston,42.346235,-83.06056,32.777596,-79.941923,02_14_2023_08_31,0.8,MOTORCYCLE,Willoughby,OH,44094,North Charleston,SC,29405,450.0,IMMEDIATELY,723,1.0,1988 harley davidson spinger,Runs,OPEN,2023-02-10,DB1486,Direct Payment Zelle,DB Auto Relocation Service,(520) 591-5305,dbdrivernetwork@gmail.com,100.0,Cleveland - Elyria - Mentor,Charleston - North Charleston,41.638178,-81.37721,32.85048,-79.982005,02_14_2023_08_31,0.62
1180,1123.6107859897013,1.050185717966947,2.0,MOTORCYCLE,Sandusky,MI,48471,Capitol Heights,MD,20743,600.0,COD/COP,623,1.0,2018 harley-davidson street glide,Runs,ENCLOSED,2023-02-16,WA1038-2,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Washington - Arlington - Alexandria,43.430359,-82.868868,38.887153,-76.892477,02_16_2023_13_23,0.96,MOTORCYCLE,Black River,MI,48721,Providence Forge,VA,23140,580.0,COD/COP,863,1.0,2011 harley-davidson road glide ultra,Runs,OPEN,2023-02-16,WA1043,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Richmond,44.807888,-83.349064,37.432286,-77.02211,02_16_2023_13_23,0.67
1085,921.3543057990804,1.1776142936228984,2.0,MOTORCYCLE,Sandusky,MI,48471,Capitol Heights,MD,20743,600.0,COD/COP,623,1.0,2018 harley-davidson street glide,Runs,ENCLOSED,2023-02-16,WA1038-2,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Washington - Arlington - Alexandria,43.430359,-82.868868,38.887153,-76.892477,02_16_2023_13_23,0.96,MOTORCYCLE,Caro,MI,48723,Providence Forge,VA,23140,485.0,COD/COP,738,1.0,2018 harley davidson ultra classic,Runs,OPEN,2023-02-16,SM-000411,Not specified,Loadmaster Group  Inc,(740) 400-0044,dispatch@loadmg.com,100.0,Not specified,Richmond,43.492277,-83.385072,37.432286,-77.02211,02_16_2023_13_23,0.66
1180,1097.1998436570595,1.0754649727865078,0.0,MOTORCYCLE,Sandusky,MI,48471,Capitol Heights,MD,20743,600.0,COD/COP,623,1.0,2018 harley-davidson street glide,Runs,ENCLOSED,2023-02-16,WA1038-2,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Washington - Arlington - Alexandria,43.430359,-82.868868,38.887153,-76.892477,02_16_2023_13_23,0.96,MOTORCYCLE,Black River,MI,48721,Providence Forge,VA,23140,580.0,COD/COP,863,1.0,2011 harley-davidson road glide ultra,Runs,OPEN,2023-02-16,WA1043,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Richmond,44.807888,-83.349064,37.432286,-77.02211,02_16_2023_13_23,0.67
1191,1069.2331343420044,1.1138824282067632,0.0,MOTORCYCLE,Grand Rapids,MI,49503,Madison,WI,53704,691.0,FIVE_BUSINESS_DAYS,346,1.0,1968 bsa 441 shooting star,Runs,ENCLOSED,2022-12-16,S92-A,Actual route MI - Honor 49640 	WI - Westfield 53964,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Grand Rapids - Wyoming,Madison,42.952658,-85.649898,43.12822,-89.384636,02_17_2023_09_10,2.0,MOTORCYCLE,Palos Hills,IL,60465,Sioux Falls,SD,57104,500.0,COD/COP,577,1.0,2019 harley street glide harley davidson,Runs,ENCLOSED,2023-02-17,am-25516 A,call: 866-670-5100 Text : 240-661-0241,All State To State Auto Transport (2),(866) 670-5100,allstatestostates@gmail.com,99.7,Chicago - Naperville - Joliet,Sioux Falls,41.699451,-87.826942,43.597354,-96.701257,02_17_2023_09_10,0.87
1382,725.103709439901,1.9059342574147249,1.0,MOTORCYCLE,Grand Rapids,MI,49503,Madison,WI,53704,691.0,FIVE_BUSINESS_DAYS,346,1.0,1968 bsa 441 shooting star,Runs,ENCLOSED,2022-12-16,S92-A,Actual route MI - Honor 49640 	WI - Westfield 53964,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Grand Rapids - Wyoming,Madison,42.952658,-85.649898,43.12822,-89.384636,02_17_2023_09_10,2.0,MOTORCYCLE,honor,MI,49640,westfield,WI,53964,691.0,FIVE_BUSINESS_DAYS,534,1.0,1968 bsa 441 shooting star,Runs,ENCLOSED,2022-12-16,S92,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Not specified,44.71258,-86.062778,43.900046,-89.531644,02_17_2023_09_10,1.29
725,563.499045112885,1.286603777393734,0.0,MOTORCYCLE,dalton,PA,18414,biglerville,PA,17307,325.0,COD/COP,175,1.0,2022 suzuki gsxr1000,Runs,OPEN,2023-02-17,ord198291,Not specified,Rite Way Auto Transport  LLC,(954) 369-4631,loads@ritewayautotransport.com,99.3,Scranton - Wilkes-Barre,Not specified,41.541075,-75.732324,39.938891,-77.308186,02_17_2023_09_10,1.86,MOTORCYCLE,Dalton,PA,18414,Biglerville,PA,17307,400.0,COD/COP,175,1.0,2023 suzuki gsx-r1000,Runs,ENCLOSED,2023-02-16,301158558,Not specified,G&G Auto Transport LLC,(256) 660-6960,pgangie1412@gmail.com,95.3,Scranton - Wilkes-Barre,Not specified,41.541075,-75.732324,39.938891,-77.308186,02_17_2023_09_10,2.29
3230,910.4654104068942,3.547636146392961,0.0,ATV,JACKSON,MI,49202,Cicero,IN,46034,350.0,TWO_BUSINESS_DAYS,217,1.0,2020 yamaha powersports yzf-r6,Runs,OPEN,2023-02-19,B96675,Not specified,Cars Transport Logistics,(219) 864-0400,info@cars-transport.com,99.2,Jackson,Indianapolis - Carmel,42.275381,-84.407534,40.135399,-86.038345,02_19_2023_13_49,1.61,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64
3480,1194.7924644692412,2.9126397290645025,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,morrow,OH,45152,conway,SC,29526,600.0,COD/COP,621,1.0,2019 harley-davidson sportster 883,Runs,OPEN,2023-02-16,30473515-nt,929 254 3256,Neptune Auto Transport LLC,(929) 758-1002,neptuneautotransportllc@gmail.com,99.5,Cincinnati - Middletown,Myrtle Beach - Conway - North Myrtle Beach,39.340999,-84.113542,33.870176,-78.984769,02_19_2023_13_49,0.97
